year,sex,enrolled,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2016,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Female,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Female,0.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,0.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Male,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,0.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,0.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2013,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2016,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2017,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2018,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2019,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2020,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2021,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2022,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
