year,sex,graduated,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,0.0,p: provisional,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,0.0,p: provisional,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2013,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2014,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2016,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2017,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2018,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2019,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2020,Female,0.0,p: provisional,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2021,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2022,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2023,Female,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2013,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2014,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2016,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2017,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2018,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2019,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2020,Male,0.0,p: provisional,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2021,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2022,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2023,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2013,Female,0.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2014,Female,0.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2016,Female,111.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2017,Female,58.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2018,Female,138.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2019,Female,45.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2020,Female,59.0,p: provisional,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2021,Female,368.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2022,Female,432.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
