year,sex,status,value,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2016,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Female,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Female,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Male,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,Enrolled,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Female,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Female,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Male,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,Enrolled,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Female,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Female,Enrolled,0.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,Enrolled,0.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Male,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,Enrolled,0.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,Enrolled,0.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,Enrolled,0.0,,ED8,Doctoral or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2013,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2016,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2017,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2018,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2019,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2020,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2021,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2022,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2023,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2013,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2016,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2017,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2018,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2019,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2020,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2021,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2022,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2023,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2013,Female,Enrolled,49079.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2014,Female,Enrolled,47125.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2015,Female,Enrolled,42734.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2016,Female,Enrolled,41142.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2017,Female,Enrolled,42146.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2018,Female,Enrolled,44352.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2019,Female,Enrolled,58034.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2020,Female,Enrolled,80588.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2021,Female,Enrolled,65993.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2022,Female,Enrolled,70389.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2023,Female,Enrolled,64828.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2013,Male,Enrolled,5003.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2014,Male,Enrolled,4760.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2015,Male,Enrolled,4147.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2016,Male,Enrolled,4080.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2017,Male,Enrolled,4547.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2018,Male,Enrolled,4837.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2019,Male,Enrolled,9010.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2020,Male,Enrolled,16502.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2021,Male,Enrolled,8791.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2022,Male,Enrolled,9135.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2023,Male,Enrolled,6006.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2013,Female,Enrolled,34422.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2014,Female,Enrolled,38324.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2015,Female,Enrolled,30126.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2016,Female,Enrolled,33417.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2017,Female,Enrolled,35666.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2018,Female,Enrolled,39509.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2019,Female,Enrolled,43673.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2020,Female,Enrolled,47678.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2021,Female,Enrolled,52052.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2022,Female,Enrolled,54005.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2023,Female,Enrolled,53986.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2013,Male,Enrolled,2611.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2014,Male,Enrolled,3468.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2015,Male,Enrolled,2020.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2016,Male,Enrolled,2214.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2017,Male,Enrolled,2332.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2018,Male,Enrolled,2697.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2019,Male,Enrolled,3128.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2020,Male,Enrolled,3704.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2021,Male,Enrolled,4125.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2022,Male,Enrolled,4407.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2023,Male,Enrolled,4042.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2013,Female,Enrolled,381.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2014,Female,Enrolled,334.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2015,Female,Enrolled,157.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2016,Female,Enrolled,116.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2017,Female,Enrolled,82.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2018,Female,Enrolled,81.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2019,Female,Enrolled,283.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2020,Female,Enrolled,298.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2021,Female,Enrolled,315.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2022,Female,Enrolled,359.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2023,Female,Enrolled,336.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2013,Male,Enrolled,167.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2014,Male,Enrolled,150.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2015,Male,Enrolled,55.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2016,Male,Enrolled,39.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2017,Male,Enrolled,33.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2018,Male,Enrolled,32.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2019,Male,Enrolled,130.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2020,Male,Enrolled,107.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2021,Male,Enrolled,125.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2022,Male,Enrolled,177.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2023,Male,Enrolled,154.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2013,Female,Enrolled,0.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2016,Female,Enrolled,422.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2017,Female,Enrolled,184.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2018,Female,Enrolled,191.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2019,Female,Enrolled,185.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2020,Female,Enrolled,237.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2021,Female,Enrolled,1106.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2022,Female,Enrolled,708.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2023,Female,Enrolled,966.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2013,Male,Enrolled,0.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2016,Male,Enrolled,375.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2017,Male,Enrolled,164.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2018,Male,Enrolled,130.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2019,Male,Enrolled,87.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2020,Male,Enrolled,204.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2021,Male,Enrolled,1103.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2022,Male,Enrolled,925.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2023,Male,Enrolled,1165.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2013,Female,Enrolled,147921.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2014,Female,Enrolled,147541.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
